state,county,population,ghi_upper,ghi_lower,ghi_range,climate_zone,lat,long,tmy3_location,avg_rep,peak_load,avg_load,load_factor,AIF_base,AID_base,EENS_base
Texas,Hidalgo County,868707,5.5,5,5 - 5.5,Hot Humid,26.31,-98.17,722506,0.1045,6.090677025,1.699895582,0.279097968,0.3044,3.48,5.915636626
Connecticut,New Haven County,854757,4.5,4,4 - 4.5,Cold,41.267,-72.883,725045,0.2218,2.397220881,1.024139581,0.427219531,0.3044,3.48,3.56400574
California,Ventura County,846006,5.5,5,5 - 5.5,Marine,34.2,-119.2,723927,0.2231,1.900722628,0.851563491,0.448020915,0.3044,3.48,2.963440949
Texas,El Paso County_tx,839238,6,5.5,5.5 - 6,Hot Dry,31.77,-106.5,722700,0.1347,3.681490019,1.135910727,0.308546464,0.3044,3.48,3.952969329
Pennsylvania,Montgomery County_pa,830915,4.5,4,4 - 4.5,Mixed Humid,40.2,-75.15,724086,0.1288,3.688911675,1.404024772,0.380606774,0.3044,3.48,4.886006206
Massachusetts,Worcester County,830622,4.5,4,4 - 4.5,Cold,42.267,-71.883,725095,0.2581,2.46634176,1.026901616,0.416366309,0.3044,3.48,3.573617625
Maryland,Baltimore County,827370,4.5,4,4 - 4.5,Mixed Humid,39.167,-76.683,724060,0.127,3.765437125,1.437524997,0.381768424,0.3044,3.48,5.00258699
New Jersey,Middlesex County_nj,825062,4.5,4,4 - 4.5,Mixed Humid,40.717,-74.183,725020,0.1722,4.202655359,1.427523056,0.339671692,0.3044,3.48,4.967780233
Washington,Snohomish County,822083,3.5,3,3 - 3.5,Marine,47.9,-122.283,727937,0.1011,2.044208078,0.893936995,0.437302349,0.3044,3.48,3.110900742
Ohio,Hamilton County,817473,4.5,4,4 - 4.5,Mixed Humid,39.1,-84.417,724297,0.1128,4.284324858,1.415842449,0.330470377,0.3044,3.48,4.927131722
Oregon,Multnomah County,812855,4,3.5,3.5 - 4,Marine,45.6,-122.617,726980,0.1328,2.014745571,0.885087523,0.439304861,0.3044,3.48,3.080104581
Texas,Fort Bend County,811688,5,4.5,4.5 - 5,Hot Humid,29.65,-95.283,722435,0.104,5.226508707,1.597002472,0.305558177,0.3044,3.48,5.557568603
Massachusetts,Suffolk County_ma,803907,4.5,4,4 - 4.5,Cold,42.367,-71.017,725090,0.2586,2.633399554,1.028609554,0.3906014,0.3044,3.48,3.579561247
New Jersey,Essex County_nj,798975,4.5,4,4 - 4.5,Mixed Humid,40.717,-74.183,725020,0.1722,4.202655359,1.427523056,0.339671692,0.3044,3.48,4.967780233
Oklahoma,Oklahoma County,797434,5,4.5,4.5 - 5,Mixed Humid,35.417,-97.383,723540,0.11,4.322513438,1.557580557,0.360341403,0.3044,3.48,5.420380339
Massachusetts,Essex County_ma,789034,4.5,4,4 - 4.5,Cold,42.717,-71.117,744904,0.2574,2.387215921,1.020270439,0.427389257,0.3044,3.48,3.550541129
Florida,Lee County,770577,5.5,5,5 - 5.5,Hot Humid,26.583,-81.867,722106,0.1103,4.449017084,1.665920444,0.374446852,0.3044,3.48,5.797403144
